--------------------------------------------------------------------------------
Marvellous Indosystems Fri Jan 20 23:53:41 2023
--------------------------------------------------------------------------------

{'pid': 1480, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 170.984375}
{'pid': 1860, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 9.9296875}
{'pid': 1924, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 53.1796875}
{'pid': 2128, 'name': 'python.exe', 'username': 'MSI\\Onkar Ople', 'vms': 11.9765625}
{'pid': 2556, 'name': 'ONLINENT.EXE', 'username': 'MSI\\Onkar Ople', 'vms': 7.05859375}
{'pid': 2740, 'name': 'NVIDIA Share.exe', 'username': 'MSI\\Onkar Ople', 'vms': 63.9296875}
{'pid': 3224, 'name': 'SecurityHealthSystray.exe', 'username': 'MSI\\Onkar Ople', 'vms': 1.9765625}
{'pid': 3528, 'name': 'igfxEM.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.63671875}
{'pid': 3716, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 49.8125}
{'pid': 3740, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 679.359375}
{'pid': 3748, 'name': 'dllhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.4453125}
{'pid': 3852, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.609375}
{'pid': 3884, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 35.90234375}
{'pid': 4036, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.2421875}
{'pid': 4104, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.85546875}
{'pid': 4156, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 153.58984375}
{'pid': 4264, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.4609375}
{'pid': 4324, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 3.9609375}
{'pid': 5424, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 16.02734375}
