--------------------------------------------------------------------------------
Marvellous Indosystems Mon Jan 23 21:19:37 2023
--------------------------------------------------------------------------------

{'pid': 1408, 'name': 'helper.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.8828125}
{'pid': 2236, 'name': 'dllhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.39453125}
{'pid': 3748, 'name': 'UserOOBEBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 1.921875}
{'pid': 3832, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 60.03515625}
{'pid': 4168, 'name': 'nahimicNotifSys.exe', 'username': 'MSI\\Onkar Ople', 'vms': 40.828125}
{'pid': 4232, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 26.8203125}
{'pid': 4772, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.6484375}
{'pid': 5228, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 648.8984375}
{'pid': 5248, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.4765625}
{'pid': 6328, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 3.56640625}
{'pid': 6628, 'name': 'SearchHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 116.89453125}
{'pid': 6636, 'name': 'SecurityHealthSystray.exe', 'username': 'MSI\\Onkar Ople', 'vms': 1.82421875}
{'pid': 6784, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 38.83203125}
{'pid': 7132, 'name': 'smartscreen.exe', 'username': 'MSI\\Onkar Ople', 'vms': 8.20703125}
{'pid': 7136, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.9765625}
{'pid': 7324, 'name': 'python.exe', 'username': 'MSI\\Onkar Ople', 'vms': 12.3125}
{'pid': 7412, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 54.95703125}
{'pid': 7656, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 11.30078125}
{'pid': 7916, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 24.55859375}
{'pid': 8088, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 17.99609375}
{'pid': 8856, 'name': 'Amazon Music Helper.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.18359375}
{'pid': 8916, 'name': 'PhoneExperienceHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 65.51953125}
{'pid': 8944, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 12.15625}
{'pid': 8964, 'name': 'python.exe', 'username': 'MSI\\Onkar Ople', 'vms': 23.640625}
{'pid': 9520, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 21.6484375}
{'pid': 10244, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.6953125}
{'pid': 10268, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 34.2265625}
{'pid': 10388, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.515625}
{'pid': 10392, 'name': 'StartMenuExperienceHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 26.28125}
{'pid': 10808, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 155.09375}
{'pid': 10884, 'name': 'NVIDIA Share.exe', 'username': 'MSI\\Onkar Ople', 'vms': 18.9453125}
{'pid': 10912, 'name': 'dllhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 1.8359375}
{'pid': 11288, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 19.05859375}
